,T,f_0,f_1,f_2,f_3,f_4,f_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
24,2.965616632482879,2134442320.159954,2477627342.1433134,1387859145.987801,1300313436.4233484,1477753038.9536824,1479493609.59359,False,True,True,True,True,True,0.9925367194304826,0.9941637125977223,0.9882710507711185,0.9996621539919386,0.9994716709814689,0.9956537191326308,12,11,7,11,12,12
25,2.897820558111165,1659682323.0576756,1312881534.1692762,1399797077.1254232,1551402518.0474484,1380518796.5435708,1867237074.1587698,True,True,True,True,False,True,0.9912035541169607,0.989168526175713,0.9935367386470235,0.9965501725499154,0.9903176459127285,0.9954426279529346,10,12,9,9,11,13
26,3.382742466302834,1491469552.482882,2745087776.967184,1878622102.216378,1480440258.2955317,1310385827.4301643,1383342832.2371318,True,True,True,False,True,True,0.9956147976720612,0.9978650229482154,0.9891154734218028,0.9987850418625492,0.9984809421068357,0.9975427145179717,11,23,9,13,11,15
27,3.2589152349433292,1380230154.081437,1891618027.06289,1334368989.0001144,1391899762.2119484,1349523645.1806295,1350731083.6467116,True,True,True,True,True,False,0.9958549957301219,0.998720271969305,0.9897284469057817,0.9917441209106568,0.992107240282454,0.9960997677727448,8,15,7,9,9,12
28,2.86463273716721,1616778174.4602416,2037368197.9156992,1302588125.503183,1381793237.4881194,1558667601.0029497,1357176871.121125,True,True,True,True,True,False,0.9995945464171127,0.9936320711253036,0.9876803494000839,0.9897225559868762,0.9884694998443454,0.9976950674034518,12,10,8,9,8,9
29,2.8006477593221515,1960056459.6795197,1622462046.4339082,1350668937.4305296,1315855512.484446,1381301047.8489997,1462190175.2687168,True,True,True,True,True,True,0.9984040753434823,0.9846126084928621,0.992600836446552,0.9921609533830024,0.9918197405551624,0.9995913599362684,13,10,8,8,7,11
30,2.907265116086227,1423498753.7310717,1564394953.2296982,2069673202.5074325,1352641531.71755,1356329599.4720027,1560389088.4412048,True,True,True,True,True,False,0.9916617569377382,0.9919827881212634,0.9978301179845013,0.994788796169896,0.9951749259643897,0.9965172450386856,13,12,10,9,8,9
31,19.227173852206715,1596022536.3403113,2721079220.5779967,1684457288.2136378,1419875637.2558672,1393356369.000994,1504830860.5422385,False,True,True,True,True,True,0.9992194196477231,0.9942297776937964,0.9943569997848009,0.9995675962870355,0.9966620162914639,0.9923111463750831,16,115,14,19,10,8
32,6.619649281645584,1391480810.237881,2682173901.4610777,1347260519.4990902,1333482013.22303,1302371870.663535,1388354387.0677695,True,True,True,True,True,True,0.9923553455921528,0.9979958226926176,0.9995598643322594,0.999867843681121,0.9991935686904948,0.9989573219404654,16,29,19,12,15,16
33,5.801090239627799,1605899939.763313,2787964675.211528,1569216010.4036856,1514470000.976304,1631041850.234622,1431460171.514882,True,True,True,True,True,True,0.998260801572368,0.9983481578558367,0.9992293646462733,0.9993806137956981,0.9961152795811481,0.9996920846922892,16,13,12,11,9,10
34,9.60285686214531,1558205338.2334921,1530903670.6636918,2455279156.4493637,1941788420.0402808,1307159487.1219907,1353182618.5997746,True,True,True,True,True,True,0.9929482829812236,0.9986514530582558,0.9922110182149505,0.999521929527027,0.9945536257990768,0.999338397959921,13,31,21,12,11,10
35,4.085893082951901,1779089434.9916975,1315545001.0917902,1480795341.7435186,1328377324.504494,1625718391.9796698,1566126633.215749,True,True,True,True,True,False,0.987824828323966,0.9920777575882749,0.9989735431949807,0.99419253463355,0.9943561666652482,0.9910449033935032,14,7,16,9,20,8
36,3.0278206504093337,1468998341.7059639,1486649075.4351451,1515726859.2553244,1433579023.9934218,1354329525.2661343,1312654236.6974673,True,False,True,True,True,True,0.9994430436418892,0.9869479384797644,0.9942655261505948,0.9964543599009102,0.9882518229107883,0.9952924924812018,15,8,8,10,8,9
37,2.979654786018647,2122501379.525833,1602420541.2688792,2012811507.3155024,1583965664.3880136,1343336489.8111145,2085800352.2284925,True,False,True,True,True,True,0.9930150963939428,0.9621978633940442,0.9931908732891555,0.9948784146507796,0.9901409000745038,0.9975322067837878,17,9,10,10,9,12
38,2.3866702149349943,1302093998.1646342,1363071381.8896055,1838714510.0381253,1484628182.56934,1898203633.591893,1791769971.0344365,True,True,True,True,False,True,0.9990517051827363,0.9897802293372046,0.9899064677751135,0.9866127145323041,0.9948776609121222,0.9888451447643649,10,8,9,10,9,8
39,3.45920518946932,1395013219.7385213,1560586269.7987757,2002370229.1153903,1714507514.3641534,1401919164.8738678,1418115981.6443343,True,True,True,True,True,True,0.9938767741023281,0.9965495232038623,0.9938510172102636,0.9970260561003804,0.9893806463772485,0.98250735962497,15,10,11,9,12,10
