,T,f_0,theta_0,f_1,theta_1,f_2,theta_2,f_3,theta_3,f_4,theta_4,f_5,theta_5,beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5,exec_time
23,19.7556084943664,1611514979.965145,0.9781569443831137,1342861163.2368083,0.9816895651561454,1392538409.6762812,0.9947433360884933,2001510535.2330842,0.9978563052742737,2187955212.1861444,0.9991983279229281,2090934198.373495,0.9971136003829646,True,True,True,True,True,False,6,6,10,10,10,75,6.939565658569336
24,12.990522137904254,1357913580.0384526,0.976273947422767,1387261546.6923828,0.9998068717603054,1488836064.2798536,0.9997514247568724,1460473797.153234,0.9987214559182336,1416597403.4015207,0.9899476674496619,1638522308.75906,0.9953755193620692,True,True,True,False,True,False,7,10,11,26,9,8,6.954254627227783
25,29.479039885070556,1374568243.1627786,0.9800319672814893,1351022981.4693305,0.9904774699091617,1472773405.7509003,0.9908289942771629,1749315422.0915213,0.9879818997852353,1619855623.1957762,0.9854803742136424,1494963878.7519746,0.9966672105827767,True,True,True,True,True,True,8,12,11,15,7,10,6.939207315444946
26,13.77068930125872,1479865139.8592758,0.9812446127540666,1328265721.7232523,0.9891230705316704,1906309989.0157456,0.9815279292642218,1324044167.9452908,0.990357285494601,2375323380.324997,0.9942567962109842,1610600032.8341212,0.9908518092344298,True,True,True,True,False,True,7,7,7,8,118,8,6.974633455276489
27,10.967838153440027,1964681483.1420481,0.994841062259102,1414635284.1923456,0.9813392092980388,1312447441.3454027,0.9775898573737879,1406633815.8523288,0.9894878017413832,1509792296.7603693,0.9788010859709632,1303876890.3772378,0.9908968855897323,False,True,True,True,True,True,8,11,6,7,9,8,6.967847108840942
28,9.40149051939446,1357720582.1659756,0.9916189890209137,2624982959.569635,0.9937857116599798,1378021933.8762143,0.9796227051416373,1405308848.8943331,0.9850841607044417,1350604060.4098876,0.9730825629329212,1349969428.6448934,0.9932715423408931,True,True,True,True,True,True,7,11,7,8,11,9,7.005941390991211
29,2.519618295411053,1518846005.3874147,0.9951428781695135,1381757690.2752752,0.9959176044653465,1333335792.258737,0.9813555992914837,1569988894.8211288,0.9703101843343088,1310662687.1031156,0.9772732922129079,1314917203.0331416,0.995329335544956,False,True,True,False,True,True,9,8,6,9,6,8,6.9612510204315186
30,6.385695756353718,1508424618.5181842,0.9956566354419923,1455754863.4675355,0.9994228322187558,1942623806.0890987,0.9845425333081846,1312090307.5175261,0.9941284244025791,1304806751.2102623,0.9756778927525087,1492056252.4406059,0.9863153557798555,False,True,False,True,True,True,9,10,7,8,6,7,6.983945846557617
31,7.687831258043338,1325046857.6068451,0.990808981238524,1977695528.1897504,0.9945748998918008,1413252093.485749,0.9938462648641287,1440050361.2438884,0.9892730011629806,1378266553.52766,0.9722633964697621,1302206283.8854606,0.9917661750454633,True,False,True,True,True,True,8,11,8,8,6,7,7.006555795669556
32,49.95533729171298,1691219883.1312177,0.996716820136753,1479278682.8686576,0.993517051133857,1350477990.9029179,0.9916199299502801,1346077087.4615417,0.9828571870332076,1316428629.700078,0.9820836147291773,1301606869.6085818,0.999680902517076,False,False,True,True,True,True,9,11,7,7,6,10,6.934201717376709
33,32.940630602549305,1300299005.256694,0.9861345897868451,1306791204.525405,0.9925715686982822,1334070101.4132464,0.9900001685813656,1568011997.614931,0.9894440488806924,1544491772.873614,0.9993966920474187,2018138481.33106,0.9964726914422914,True,True,True,True,True,False,8,10,8,8,12,19,6.947006702423096
34,4.801036680613983,1320069385.3755095,0.9881370617268873,1351511844.9435956,0.9884998570875098,1440872750.512647,0.987231877945054,1455470219.3283417,0.9933211112890155,1315163685.776899,0.9906866688259548,1412333894.2141404,0.9937432071383415,True,True,True,False,True,False,7,9,8,19,8,11,6.972329378128052
35,3.3883778180260977,1410687370.990695,0.9843576605964055,1450605906.8790722,0.9896389769237811,1392453195.349709,0.9894987784986389,1492713886.955625,0.9844609211090403,1311520066.9408076,0.9882724033547771,1382283991.1959965,0.9949665860952888,True,True,True,True,False,True,6,7,7,7,13,10,6.950100660324097
36,26.647068506228848,1674901429.2590816,0.9876928189041637,2037145489.661871,0.9883822810961936,1341126120.454408,0.9965186355815043,1346774496.0226731,0.9766993268452298,1496726098.9939988,0.9842319535622024,1331373968.1131425,0.9962487010330888,True,False,True,True,True,False,7,153,9,6,7,15,6.989794015884399
